ControlSet,CacheEntryPosition,Path,LastModifiedTimeUTC,Executed,Duplicate,SourceFile
1,96,D:\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.AnyCPU\ServiceHub.RoslynCodeAnalysisService.exe,2021-05-27 17:54:18,NA,False,Live Registry
1,97,D:\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.SettingsHost.exe,2021-05-27 17:54:19,NA,False,Live Registry
1,98,D:\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.Host.CLR.x86.exe,2021-05-27 17:54:19,NA,False,Live Registry
1,99,D:\Microsoft Visual Studio\2019\Community\MSBuild\Current\Bin\MSBuild.exe,2021-09-18 09:37:45,NA,False,Live Registry
1,100,D:\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.ThreadedWaitDialog.exe,2021-05-27 17:54:19,NA,False,Live Registry
1,101,D:\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.IdentityHost.exe,2021-05-27 17:54:19,NA,False,Live Registry
1,102,D:\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\Hosts\ServiceHub.Host.CLR.x86\ServiceHub.VSDetouredHost.exe,2021-05-27 17:54:19,NA,False,Live Registry
1,103,C:\Program Files (x86)\Microsoft Visual Studio\Installer\resources\app\ServiceHub\Services\Microsoft.VisualStudio.Setup.Service\BackgroundDownload.exe,2021-09-18 09:33:34,NA,False,Live Registry
1,104,D:\Microsoft Visual Studio\2019\Community\Common7\ServiceHub\controller\Microsoft.ServiceHub.Controller.exe,2021-05-27 17:54:18,NA,False,Live Registry
1,105,d:\microsoft visual studio\2019\community\common7\ide\commonextensions\microsoft\teamfoundation\team explorer\Git\mingw32\bin\git.exe,2021-09-18 09:37:35,NA,False,Live Registry
1,106,D:\Microsoft Visual Studio\2019\Community\Common7\IDE\PerfWatson2.exe,2021-09-18 09:37:33,NA,False,Live Registry
1,107,C:\Program Files\Microsoft OneDrive\OneDriveStandaloneUpdater.exe,2021-09-12 09:21:07,NA,False,Live Registry
1,108,C:\Windows\System32\wsqmcons.exe,2021-07-09 13:58:56,NA,False,Live Registry
1,109,C:\Windows\system32\usoclient.exe,2021-09-17 13:51:43,NA,False,Live Registry
1,110,C:\Windows\system32\SgrmBroker.exe,2020-12-11 20:37:30,NA,False,Live Registry
1,111,D:\CCleaner\CCUpdate.exe,2021-09-10 13:35:22,NA,False,Live Registry
1,112,C:\Program Files\WindowsApps\Microsoft.WindowsFeedbackHub_1.2106.1801.0_x64__8wekyb3d8bbwe\Application,2021-09-15 19:39:48,NA,False,Live Registry
1,113,C:\Windows\SystemApps\Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy\Application,2021-08-28 17:05:36,NA,False,Live Registry
1,114,00000009	3e8537f64fa40000	000a00004a640000	8664	microsoft.windowscommunicationsapps	8wekyb3d8bbwe	,,NA,False,Live Registry
1,115,C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.20388.0_x64__8wekyb3d8bbwe\Application,2021-09-15 19:39:52,NA,False,Live Registry
1,116,00000009	0001083a07090000	000a00004c980000	8664	Microsoft.WindowsFeedbackHub	8wekyb3d8bbwe	,,NA,False,Live Registry
1,117,0000000b	000a00004a6103ff	000a000000000000	8664	Microsoft.Windows.ContentDeliveryManager	cw5n1h2txyewy	neutral,,NA,False,Live Registry
1,118,00000009	3e8537f64fa40000	000a00004c610000	8664	microsoft.windowscommunicationsapps	8wekyb3d8bbwe	,,NA,False,Live Registry
1,119,C:\Windows\ImmersiveControlPanel\SystemSettings.exe,2021-09-17 13:52:12,NA,False,Live Registry
1,120,C:\Program Files (x86)\Kaspersky Lab\Kaspersky Password Manager 9.0.2\kpm_tray.exe,2021-04-28 18:22:14,NA,False,Live Registry
1,121,C:\Windows\system32\MusNotifyIcon.exe,2021-09-17 13:51:43,NA,False,Live Registry
1,122,C:\Windows\system32\MusNotificationUx.exe,2021-09-17 13:51:43,NA,False,Live Registry
1,123,C:\Windows\System32\mousocoreworker.exe,2021-09-17 13:51:43,NA,False,Live Registry
1,124,C:\Windows\system32\MusNotification.exe,2021-09-17 13:51:43,NA,False,Live Registry
