BagPath,Slot,NodeSlot,MRUPosition,AbsolutePath,ShellType,Value,ChildBags,CreatedOn,ModifiedOn,AccessedOn,LastWriteTime,MFTEntry,MFTSequenceNumber,ExtensionBlockCount,FirstInteracted,LastInteracted,HasExplored,Miscellaneous
BagMRU\2\0\0\1\0,0,0,0,Desktop\Shared Documents Folder (Users Files)\AppData\Local\Microsoft\GFWLive\Install,Directory,Install,1,,,,2021-06-12 20:04:52,0,,1,,2021-06-12 20:04:52,False,
BagMRU\2\0\0\1\0\0,0,77,0,Desktop\Shared Documents Folder (Users Files)\AppData\Local\Microsoft\GFWLive\Install\Logs,Directory,Logs,0,2021-06-12 20:03:58,2021-06-12 20:04:44,2021-06-12 20:04:44,2021-06-12 20:04:52,0,,1,2021-06-12 20:04:52,2021-06-12 20:04:52,True,
BagMRU\2\0\0\2,0,198,0,Desktop\Shared Documents Folder (Users Files)\AppData\Local\Discord\app-1.0.9002,Directory,app-1.0.9002,0,2021-05-25 17:06:12,2021-05-25 17:06:14,2021-09-12 13:51:12,2021-09-12 14:39:37,22535,140,1,2021-09-12 14:39:37,2021-09-12 14:39:37,False,NTFS file system
BagMRU\2\0\0\3,0,214,0,Desktop\Shared Documents Folder (Users Files)\AppData\Local\Temp\Temp1_All.zip,Directory,Temp1_All.zip,3,2021-09-12 14:47:22,2021-09-12 14:47:22,2021-09-12 14:47:22,2021-09-14 17:19:11,23414,263,1,,2021-09-14 17:19:11,True,NTFS file system
BagMRU\2\0\0\3\0,0,213,2,Desktop\Shared Documents Folder (Users Files)\AppData\Local\Temp\Temp1_All.zip\LECmd.zip,File,LECmd.zip,0,2021-06-09 12:16:52,2021-09-12 14:47:22,2021-09-12 14:47:22,2021-09-14 17:24:12,23445,21,1,2021-09-14 17:19:09,,False,NTFS file system
BagMRU\2\0\0\3\0,1,216,1,Desktop\Shared Documents Folder (Users Files)\AppData\Local\Temp\Temp1_All.zip\JLECmd.zip,File,JLECmd.zip,0,2021-05-26 09:43:30,2021-09-14 17:19:22,2021-09-14 17:19:22,2021-09-14 17:24:12,6999,720,1,2021-09-14 17:24:08,,False,NTFS file system
BagMRU\2\0\0\3\0,2,217,0,Desktop\Shared Documents Folder (Users Files)\AppData\Local\Temp\Temp1_All.zip\JumpListExplorer.zip,File,JumpListExplorer.zip,1,2021-05-26 09:41:54,2021-09-14 17:24:12,2021-09-14 17:24:12,2021-09-14 17:24:12,17751,22,1,,2021-09-14 17:24:12,False,NTFS file system
BagMRU\2\0\0\3\0\2,0,218,0,Desktop\Shared Documents Folder (Users Files)\AppData\Local\Temp\Temp1_All.zip\JumpListExplorer.zip\JumpListExplorer,Zip file contents,JumpListExplorer,0,,,,2021-09-14 17:24:15,,,0,2021-09-14 17:24:15,2021-09-14 17:24:15,True,
BagMRU\2\1,0,19,0,Desktop\Shared Documents Folder (Users Files)\source\repos,Directory,repos,0,2021-05-25 13:52:18,2021-05-25 13:52:18,2021-05-25 13:52:18,2021-05-25 13:52:51,93363,10,1,2021-05-25 13:52:51,2021-05-25 13:52:51,False,NTFS file system
BagMRU\4,0,47,3,Desktop\Control Panel\Hardware and Sound,Control Panel Category,Hardware and Sound,1,,,,2021-09-24 16:35:09,,,0,,,True,
