SourceFile,SourceCreated,SourceModified,SourceAccessed,AppId,AppIdDescription,EntryName,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,CommonPath,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,TrackerCreatedOn,ExtraBlocksPresent,Arguments
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\a712c324879904b1.customDestinations-ms,2021-06-28 16:38:08,2021-09-18 08:53:22,2021-10-03 16:52:39,a712c324879904b1,Unknown AppId,Tasks,,,,0,,,0,"HasTargetIdList, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,My Computer\D:\Malwarebytes\Anti-Malware\assistant.exe,0x0,,,,,"IconEnvironmentDataBlock, PropertyStoreDataBlock"," --threatscan"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\a712c324879904b1.customDestinations-ms,2021-06-28 16:38:08,2021-09-18 08:53:22,2021-10-03 16:52:39,a712c324879904b1,Unknown AppId,Tasks,,,,0,,,0,"HasTargetIdList, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,My Computer\D:\Malwarebytes\Anti-Malware\assistant.exe,0x0,,,,,"IconEnvironmentDataBlock, PropertyStoreDataBlock"," --update"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\a7ba40025dac9a67.customDestinations-ms,2021-05-26 09:05:30,2021-06-22 07:17:32,2021-10-03 16:52:39,a7ba40025dac9a67,Microsoft Office Hub,,,,,0,,,0,"HasTargetIdList, HasName, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe!Microsoft.MicrosoftOfficeHub,0x0,,,,,PropertyStoreDataBlock,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\a7ba40025dac9a67.customDestinations-ms,2021-05-26 09:05:30,2021-06-22 07:17:32,2021-10-03 16:52:39,a7ba40025dac9a67,Microsoft Office Hub,,,,,0,,,0,"HasTargetIdList, HasName, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe!Microsoft.MicrosoftOfficeHub,0x0,,,,,PropertyStoreDataBlock,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\a7ba40025dac9a67.customDestinations-ms,2021-05-26 09:05:30,2021-06-22 07:17:32,2021-10-03 16:52:39,a7ba40025dac9a67,Microsoft Office Hub,,,,,0,,,0,"HasTargetIdList, HasName, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",(None),,,,,Microsoft.MicrosoftOfficeHub_8wekyb3d8bbwe!Microsoft.MicrosoftOfficeHub,0x0,,,,,PropertyStoreDataBlock,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\b8ab77100df80ab2.customDestinations-ms,2021-09-14 17:08:01,2021-10-03 16:43:36,2021-10-03 16:52:39,b8ab77100df80ab2,Microsoft Office Excel x64,Recent,2021-10-03 16:43:18,2021-10-03 16:43:18,2021-10-03 16:43:26,82158,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\Sources&IoCs\LNKs\20211003204318_LECmd_Output.csv,,My Computer\D:\source\repos\usb_forensic\Sources&IoCs\LNKs\20211003204318_LECmd_Output.csv,0x67EF6,0x2,desktop-91gu178,00:d8:61:2e:91:83,2021-10-03 16:04:19,"TrackerDataBaseBlock, PropertyStoreDataBlock",
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\b8ab77100df80ab2.customDestinations-ms,2021-09-14 17:08:01,2021-10-03 16:43:36,2021-10-03 16:52:39,b8ab77100df80ab2,Microsoft Office Excel x64,Recent,2021-10-03 16:41:23,2021-10-03 16:41:23,2021-10-03 16:41:26,11869,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\Sources&IoCs\Amcache\20211002103723_Amcache_DeviceContainers.csv,,My Computer\D:\source\repos\usb_forensic\Sources&IoCs\Amcache\20211002103723_Amcache_DeviceContainers.csv,0x67EF5,0x2,desktop-91gu178,00:d8:61:2e:91:83,2021-10-03 16:04:19,"TrackerDataBaseBlock, PropertyStoreDataBlock",
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\b8ab77100df80ab2.customDestinations-ms,2021-09-14 17:08:01,2021-10-03 16:43:36,2021-10-03 16:52:39,b8ab77100df80ab2,Microsoft Office Excel x64,Recent,2021-09-22 19:23:01,2021-10-03 11:42:21,2021-10-03 11:42:32,14942,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\InfoSec_Labs\PDn\PDn_DocsRegulations.xlsx,,My Computer\D:\source\repos\InfoSec_Labs\PDn\PDn_DocsRegulations.xlsx,0x37390,0x1F,desktop-91gu178,00:d8:61:2e:91:83,2021-09-22 18:49:19,"TrackerDataBaseBlock, PropertyStoreDataBlock",
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\b8ab77100df80ab2.customDestinations-ms,2021-09-14 17:08:01,2021-10-03 16:43:36,2021-10-03 16:52:39,b8ab77100df80ab2,Microsoft Office Excel x64,Recent,2021-09-25 17:08:05,2021-09-25 17:08:05,2021-10-03 10:54:15,15477,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\InfoSec_Labs\REZAS\LR1_Rules.xlsx,,My Computer\D:\source\repos\InfoSec_Labs\REZAS\LR1_Rules.xlsx,0x35F8B,0x7,desktop-91gu178,00:d8:61:2e:91:83,2021-09-24 19:44:55,"TrackerDataBaseBlock, PropertyStoreDataBlock",
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\b916037c1e115fe0.customDestinations-ms,2021-05-25 10:56:56,2021-10-03 16:05:00,2021-10-03 16:52:39,b916037c1e115fe0,Unknown AppId,,2021-08-15 18:17:05,2021-08-15 18:17:29,2021-10-03 16:04:58,114017656,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasName, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.75.140.0_x86__kzf8qxf38zg5c\Skype\Skype.exe,,My Computer\C:\Program Files\WindowsApps\Microsoft.SkypeApp_15.75.140.0_x86__kzf8qxf38zg5c\Skype\Skype.exe,0x6F9FC,0x28,desktop-91gu178,00:d8:61:2e:91:83,2021-09-12 09:17:38,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--shutdown
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\ccba5a5986c77e43.customDestinations-ms,2021-05-25 10:46:04,2021-06-22 07:17:32,2021-10-03 16:52:39,ccba5a5986c77e43,Microsoft Edge (Chromium),,2021-04-01 19:18:23,2021-04-01 08:51:20,2021-05-25 10:46:52,3138960,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,,My Computer\C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,0x70C03,0x7,desktop-91gu178,00:d8:61:2e:91:83,2021-05-25 09:32:19,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\ccba5a5986c77e43.customDestinations-ms,2021-05-25 10:46:04,2021-06-22 07:17:32,2021-10-03 16:52:39,ccba5a5986c77e43,Microsoft Edge (Chromium),,2021-04-01 19:18:23,2021-04-01 08:51:20,2021-05-25 10:46:52,3138960,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasArguments, HasIconLocation, IsUnicode, HasExpIcon, DisableKnownFolderTracking, AllowLinkToLink",Fixed storage media (Hard drive),14172ECA,,C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,,My Computer\C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe,0x70C03,0x7,desktop-91gu178,00:d8:61:2e:91:83,2021-05-25 09:32:19,"IconEnvironmentDataBlock, TrackerDataBaseBlock, PropertyStoreDataBlock",--inprivate
