SourceFile,SourceCreated,SourceModified,SourceAccessed,TargetCreated,TargetModified,TargetAccessed,FileSize,RelativePath,WorkingDirectory,FileAttributes,HeaderFlags,DriveType,VolumeSerialNumber,VolumeLabel,LocalPath,NetworkPath,CommonPath,Arguments,TargetIDAbsolutePath,TargetMFTEntryNumber,TargetMFTSequenceNumber,MachineID,MachineMACAddress,MACVendor,TrackerCreatedOn,ExtraBlocksPresent
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Uninstall a program (2).lnk,2021-09-14 15:32:39,2021-09-24 16:35:09,2021-10-03 16:43:18,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,All Tasks\Uninstall a program,,,,,,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Uninstall a program.lnk,2021-06-09 14:49:47,2021-06-28 16:36:33,2021-10-03 16:43:18,,,,0,,,0,"HasTargetIdList, IsUnicode, DisableKnownFolderTracking",(None),,,,,,,All Tasks\Uninstall a program,,,,,,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Unity Projects.lnk,2021-06-09 15:26:11,2021-06-09 15:28:17,2021-10-03 16:43:18,2021-06-09 15:26:03,2021-06-09 15:26:03,2021-06-09 15:28:16,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Unity Projects,,,,My Computer\D:\Unity Projects,0x313AC,0x1,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-06-04 16:57:54,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Univer.lnk,2021-08-15 19:08:54,2021-09-27 16:36:41,2021-10-03 16:43:18,2021-08-15 19:08:51,2021-09-27 16:36:41,2021-09-27 16:36:41,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Univer,,,,My Computer\D:\Univer,0x361DB,0xD,desktop-91gu178,00:1a:7d:da:71:05,CYBER-BLUE,2021-08-14 21:26:33,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\USB.png.lnk,2021-09-13 10:09:49,2021-09-26 16:27:38,2021-10-03 16:43:18,2021-09-13 10:09:42,2021-09-13 10:09:49,2021-09-26 16:27:38,77993,,D:\source\repos\usb_forensic,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\USB.png,,,,My Computer\D:\source\repos\usb_forensic\USB.png,0x6A33E,0x2,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-24 19:44:55,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\usb_forensic (2).lnk,2021-09-19 08:54:30,2021-10-02 20:02:20,2021-10-03 16:43:18,2021-09-13 10:07:33,2021-10-02 20:02:12,2021-10-02 20:02:20,4096,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic,,,,My Computer\D:\source\repos\usb_forensic,0x6A135,0x3,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-12 09:17:38,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\USB_Forensic.lnk,2021-09-13 10:09:49,2021-09-18 09:59:11,2021-10-03 16:43:18,2021-09-18 09:32:25,2021-09-18 09:59:11,2021-09-18 09:59:11,4096,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\USB_Forensic\USB_Forensic,,,,My Computer\D:\source\repos\usb_forensic\USB_Forensic\USB_Forensic,0x0,,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-18 09:46:50,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\USB_Forensic.sln.lnk,2021-09-18 09:32:31,2021-09-26 08:17:18,2021-10-03 16:43:18,2021-09-19 09:27:12,2021-09-19 09:27:12,2021-09-26 08:17:15,1142,,D:\source\repos\usb_forensic\USB_Forensic,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\usb_forensic\USB_Forensic\USB_Forensic.sln,,,,My Computer\D:\source\repos\usb_forensic\USB_Forensic\USB_Forensic.sln,0x275A,0x5,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-19 07:29:31,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Utilities.lnk,2021-09-24 16:35:51,2021-09-24 16:37:32,2021-10-03 16:43:18,2021-09-24 16:35:47,2021-09-24 16:35:47,2021-09-24 16:37:30,0,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\source\repos\InfoSec_Labs\Utilities,,,,My Computer\D:\source\repos\InfoSec_Labs\Utilities,0x35F55,0x15,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-22 18:49:19,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\_Информация_ ФСБ России от 21.06.2016  О нормативно-методиче.rtf.lnk,2021-09-21 18:21:08,2021-09-21 18:21:08,2021-10-03 16:43:18,2021-09-21 18:20:49,2021-09-21 18:20:49,2021-09-21 18:21:08,28478,,D:\Downloads,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads\_Информация_ ФСБ России от 21.06.2016  О нормативно-методиче.rtf,,,,My Computer\D:\Downloads\_Информация_ ФСБ России от 21.06.2016  О нормативно-методиче.rtf,0x3638D,0x5,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-19 07:29:31,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Британский стандарт.docx.lnk,2021-10-03 07:16:41,2021-10-03 07:45:12,2021-10-03 16:43:18,2021-10-03 07:16:36,2021-10-03 07:43:55,2021-10-03 07:43:55,18971,,D:\Univer\Syaktereva,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Univer\Syaktereva\Британский стандарт.docx,,,,My Computer\D:\Univer\Syaktereva\Британский стандарт.docx,0x67E14,0xB,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-10-02 08:14:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\варианты.docx.lnk,2021-10-02 19:47:10,2021-10-02 19:47:10,2021-10-03 16:43:18,2021-10-02 19:47:08,2021-10-02 19:47:08,2021-10-02 19:47:10,14864,,D:\Downloads,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads\варианты.docx,,,,My Computer\D:\Downloads\варианты.docx,0x3620C,0x7,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-10-02 08:14:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\лек.docx.lnk,2021-10-03 05:34:19,2021-10-03 10:44:09,2021-10-03 16:43:18,2021-10-03 05:34:17,2021-10-03 05:34:18,2021-10-03 05:34:19,28993,,D:\Downloads,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads\лек.docx,,,,My Computer\D:\Downloads\лек.docx,0x67E0F,0x5,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-10-02 08:14:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Лек_описание этапов.docx.lnk,2021-10-02 05:57:53,2021-10-02 05:57:53,2021-10-03 16:43:18,2021-09-25 06:05:07,2021-09-25 05:01:12,2021-09-25 06:05:06,33229,,E:\5 курс\С09-361-1,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking","Removable storage media (Floppy, USB)",46194114,SANDISK USB,E:\5 курс\С09-361-1\Лек_описание этапов.docx,,,,E:\\5 курс\С09-361-1\Лек_описание этапов.docx,0x8F71CD60,,,,,,
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\материал для лекции и практического занятия-20211002.zip.lnk,2021-10-02 19:38:58,2021-10-03 05:30:44,2021-10-03 16:43:18,2021-10-02 19:38:57,2021-10-02 19:38:57,2021-10-03 05:30:44,436176,,,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads\материал для лекции и практического занятия-20211002.zip,,,,My Computer\D:\Downloads\материал для лекции и практического занятия-20211002.zip,0x35FB3,0xA,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-10-02 08:14:08,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Методические рекомендации по применению приказа Роскомнадзор.rtf.lnk,2021-09-21 18:30:00,2021-09-21 18:30:00,2021-10-03 16:43:18,2021-09-21 18:29:47,2021-09-21 18:29:48,2021-09-21 18:30:00,161028,,D:\Downloads,FileAttributeArchive,"HasTargetIdList, HasLinkInfo, HasWorkingDir, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Downloads\Методические рекомендации по применению приказа Роскомнадзор.rtf,,,,My Computer\D:\Downloads\Методические рекомендации по применению приказа Роскомнадзор.rtf,0x3639F,0x5,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-19 07:29:31,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Новая папка (2).lnk,2021-09-29 05:23:07,2021-09-29 05:35:54,2021-10-03 16:43:18,2021-09-29 05:20:25,2021-09-29 05:35:53,2021-09-29 05:35:54,131072,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Univer\Old\2 курс\New folder\Новая папка,,,,My Computer\D:\Univer\Old\2 курс\New folder\Новая папка,0x670EF,0x8,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-27 16:37:00,"TrackerDataBaseBlock, PropertyStoreDataBlock"
C:\Users\Klim\AppData\Roaming\Microsoft\Windows\Recent\Новая папка.lnk,2021-09-27 16:46:43,2021-09-29 05:22:36,2021-10-03 16:43:18,2021-09-29 05:20:25,2021-09-29 05:22:36,2021-09-29 05:22:36,131072,,,FileAttributeDirectory,"HasTargetIdList, HasLinkInfo, IsUnicode, DisableKnownFolderTracking",Fixed storage media (Hard drive),BAD5F9B0,,D:\Univer\Old\2 курс\New folder\Новая папка,,,,My Computer\D:\Univer\Old\2 курс\New folder\Новая папка,0x670EF,0x8,desktop-91gu178,00:d8:61:2e:91:83,MICRO-STAR INTL,2021-09-27 16:37:00,"TrackerDataBaseBlock, PropertyStoreDataBlock"
