Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,BackgroundBytesRead,BackgroundBytesWritten,BackgroundContextSwitches,BackgroundCycleTime,BackgroundNumberOfFlushes,BackgroundNumReadOperations,BackgroundNumWriteOperations,FaceTime,ForegroundBytesRead,ForegroundBytesWritten,ForegroundContextSwitches,ForegroundCycleTime,ForegroundNumberOfFlushes,ForegroundNumReadOperations,ForegroundNumWriteOperations
1001,9/13/2021 10:06,\Device\HarddiskVolume5\Program Files\Google\Chrome\Application\chrome.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,492,0,0,0,0,0,0,0,2.62499E+13,87377920,240578560,3240852,8.16857E+11,852,616,15702
1002,9/13/2021 10:06,\Device\HarddiskVolume5\Program Files (x86)\Kaspersky Lab\Kaspersky Password Manager 9.0.2\kpm_tray.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,493,0,0,0,0,0,0,0,6.8784E+11,0,0,107,9427960,0,0,0
1003,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\WindowsPowerShell\v1.0\powershell.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,494,0,0,0,0,0,0,0,1.42008E+12,212992,0,41594,8757509838,0,12,0
1004,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\conhost.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,388,0,0,0,0,0,0,0,1.38228E+12,0,0,2638,239247440,0,0,0
1005,9/13/2021 10:06,\Device\HarddiskVolume5\Users\Klim\AppData\Local\Discord\app-1.0.9002\Discord.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,495,0,0,0,0,0,0,0,4.23924E+12,14272000,3457024,205376,85168044054,8,684,455
1006,9/13/2021 10:06,\Device\HarddiskVolume1\Notepad++\notepad++.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,497,0,0,0,0,0,0,0,7.1004E+11,4096,0,14580,11692294520,0,1,0
1007,9/13/2021 10:06,Microsoft.ZuneVideo_10.21061.10121.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,62,0,0,33,4576840,0,0,0,16217380462,1699328,331776,2587,753759677,0,71,49
1008,9/13/2021 10:06,NcsiUwpApp_1000.19041.1023.0_neutral_neutral_8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,499,184832,8192,509,156540320,0,9,2,0,0,0,0,0,0,0,0
1009,9/13/2021 10:06,Microsoft.MicrosoftOfficeHub_18.2106.12410.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,500,7373824,331776,1868,1444312480,2,394,81,599938834,0,0,129,28084560,0,0,0
1010,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\System32\mmc.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,501,0,0,0,0,0,0,0,7.1004E+11,393216,0,5763,902832078,0,21,0
1011,9/13/2021 10:06,\Device\HarddiskVolume5\Windows\regedit.exe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,559,0,0,0,0,0,0,0,6.9084E+11,0,0,488,52845960,0,0,0
1012,9/13/2021 10:06,Microsoft.Windows.Photos_2021.21070.22007.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,560,427008,167936,1776,642011595,0,50,41,16230393923,344064,1097728,1909,584311038,0,12,172
1013,9/13/2021 10:06,Microsoft.YourPhone_1.21072.161.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-639173964-2954081898-1518622790-1001,,4,573,32768,0,101,29777240,0,1,0,14770033654,10585600,450560,2473,794715160,3,506,65
